,reference,latitude,longitude,date,year,description,hostility,victim,navArea,subreg
287,2021-100,25.183333,56.683333,2021-04-13,2021,"On 13 April, the Israeli-owned, Bahamas-flagged vehicle carrier HYPERION RAY reportedly was attacked 18 NM east of Fujairah, UAE, near position 25: 1 IN — 056:41E.",No information,HYPERION RAY,IX,62
288,2021-88,-12.0,-77.2,2021-04-13,2021,"On 13 April, three robbers armed with knives boarded an anchored LPG tanker in Callao Anchorage, near position 12:00S — 077:12W at 19:40 local time. Two robbers assaulted a duty crewman on routine rounds. The alarm was raised and the crew was mustered. Seeing the alerted crew, the robbers escaped with stolen ship's properties. The incident was reported to authorities through a local agent.",No information,No information,XVI,22
289,2021-105,5.8,118.066667,2021-04-12,2021,"On 12 April, an unknown number of robbers boarded a tanker at Sandakan Port, near position 05:48N — 1 18:04E. A duty crewman heard a noise from the vessel's forecastle and spotted one robber. The alarm was raised and the crew was mustered, which resulted in the perpetrator jumping overboard into a waiting small boat. A full search was conducted, which confirmed the padlock securing the forward bosun store room had been broken, but a robber had been spotted before being able to enter. The search also revealed that the forward anchor bell had been stolen.",No information,No information,XI,72
290,2021-106,1.266667,104.233333,2021-04-11,2021,"On 11 April, four robbers armed with knives boarded the Liberia-flagged bulk carrier PANTAZIS L approximately 5.3 NM southeast of Kampong Sungai Buntu, Malaysia, in the eastern section of the singapore Strait, near position 01:16N — 104:14E at 01:15 local time. The robbers were discovered in the engine room and, upon being sighted, escaped by jumping overboard. A full search was completed which confirmed some engine parts had been stolen.",No information,PANTAZIS L,XI,71
291,2021-108,1.266667,104.25,2021-04-08,2021,"On 8 April, four robbers armed with knives boarded the Portugal-flagged bulk carrier TRINA OLDENDORFF approximately 5.3 NM southeast of Kampong Sungai Buntu, Malaysia, in the eastern section of the Singapore Strait, near position 01:16N — 104:15E at 01 local time. The duty motorman saw the robbers, who pushed and hit the motorman on the head before escaping. Alarm was raised, crew was mustered, and a search was carried out. Nothing reported stolen.",No information,TRINA OLDENDORFF,XI,71
292,2021-107,1.266239,104.249683,2021-04-08,2021,"On 8 April, two robbers boarded the Singapore-flagged tanker HARRISBURG approximately 5.3 NM southeast of Kampong Sungai Buntu, Malaysia, in the eastern section of the Singapore Strait, near position 01:16N — 104:15E at 05:50 local time. The alarm was raised and crew mustered. A search onboard the ship was conducted with no further sighting of the perpetrators. Nothing was stolen.",No information,HARRISBURG,XI,71
293,2021-101,15.15,41.016667,2021-04-06,2021,"On 6 April, Iran-flagged commercial vessel SAVIZ reported an onboard explosion as the ship operated in the vicinity of Djibouti near position 15:09N — 041:01 E. On 6 April around 0600 local time. The SAVIZ had been anchored off Yemen for what Iran describes as a mission to ""provide maritime security along the shipping lines and to fight pirates."" An Iranian foreign ministry spokesperson confirmed ""The freighter was slightly damaged in an explosion.""",explosion,SAVIZ,IX,62
294,2021-96,9.233333,-13.816667,2021-04-02,2021,"On 2 April, four robbers boarded a bulk carrier anchored at Conakry Anchorage, near position 09:14N — 013:49W. The robbers stole money and the crew's personal effects before escaping. The crew are reported as safe.",No information,No information,II,51
295,2021-97,5.166667,4.5,2021-04-01,2021,"On 1 April, an unknown vessel made a suspicious approach against an offshore supply vessel approximately 45 NM southwest of Bayelsa State, near position 051: ION — 004:30E. The suspicious vessel was transiting showing no AIS and altering course in unison with the supply vessel at three miles. After possibly detecting the escort vessel, the suspicious vessel changed course and moved away. The suspicious vessel managed to approach to a distance of 0.5 NM.",No information,No information,II,57
296,2021-174,12.003169,-61.749414,2021-03-31,2021,"GRENADA: On 25 March, robbers stole a small outboard motor from a dinghy alongside an occupied yacht anchored in Mt. Hartman Bay.",No information,No information,IV,25
297,2021-110,1.2,103.516667,2021-03-30,2021,"On 30 March, robbers boarded a barge under tow by a tugboat in the Singapore Strait near position 01:12N — 103:31E. Robbers in two boats came alongside the barge, stole an attached buoy, and headed towards Tanjung Pelepas. The master reported the incident via Vessel Traffic Service CH 73.",No information,No information,XI,71
298,2021-109,-6.033333,106.8,2021-03-30,2021,"On 30 March, robbers boarded a container vessel anchored at Zone F, Jakarta Anchorage, near position 06:02S — 1 06:48E. Crew members on routine rounds spotted the two robbers carrying sacks. When the crew shouted and pointed their flashlights at the robbers, the robbers fled from the port side, poop deck area. The crew conducted a search which revealed that the robbers had stolen items from the engine room.",No information,No information,XI,71
299,2021-89,10.678239,-61.639469,2021-03-29,2021,"On 29 March, robbers stole a small outboard motor and dinghy from alongside a yacht in Chaguaramas Bay. It is not known if a police report was made.",No information,No information,IV,24
300,2021-99,-8.75,13.266667,2021-03-28,2021,"On 28 March, robbers boarded a container vessel at Luanda Anchorage, near position 08:45S — 01 3:16E. The robbers managed to board the vessel and steal several items of ship's properties before being spotted by the duty crew. The crew raised the alarm and notified port authorities. The robbers fled in two wooden boats.",No information,No information,VII,57
301,2021-98,6.333333,-10.866667,2021-03-28,2021,"On 28 March, two robbers attempted to board a bulk carrier in Monrovia Anchorage, near position 06:20N — 010:52W. When port security spotted robbers trying to board the vessel, they raised the alarm. The robbers subsequently jumped into the water. No items were reported stolen in the incident.",No information,No information,II,51
302,2021-90,16.166397,-61.786331,2021-03-27,2021,"On 27 March, a dinghy and outboard motor were stolen from a sailing yacht anchored near Pigeon Island. A police report was made.",No information,No information,IV,25
303,2021-102,-10.775419,40.472211,2021-03-26,2021,"On 26 March, insurgents reportedly briefly boarded two vessels in the harbor at Palma, during an insurgent-led siege of the city. More than 1,300 people have been evacuated from the city, mostly by ship.",No information,No information,VII,61
304,2021-91,12.0,-61.733331,2021-03-26,2021,"On 26 March, robbers stole a small outboard motor from a dinghy alongside an occupied yacht anchored near Hog Island.",No information,No information,IV,25
305,2021-111,1.283333,104.3,2021-03-25,2021,"On 25 March, five robbers boarded the Marshall Islands-flagged bulk carrier AFRICAN QUEEN underway 6.1 NM northwest of Tanjung Pergram, Bintan Island, near position 01:17 N — 104:18E. Master raised the alarm, crew mustered, and a search was carried out. Engine spare parts reported stolen. Incident reported to local authorities.",No information,AFRICAN QUEEN,XI,71
306,2021-175,10.316667,-75.516667,2021-03-24,2021,"COLOMBIA: On 24 March, robbers boarded a tanker at Cartagena Alpha Anchorage, near position 10-19N 075-31W. While on routine rounds, a duty crewman spotted three robbers armed with knives. The alarm was raised, and an emergency broadcast was made to the harbormaster. The robbers then made their escape by lowering the mooring ropes and using a blue hulled motorboat. Three members of the coast guard carried out an investigation and found that several items of ship's properties were stolen.",No information,No information,IV,24
307,2021-92,10.316667,-75.516667,2021-03-24,2021,No information,No information,No information,IV,24
308,2021-173,9.9634,79.5394,2021-03-22,2021,"INDIA: On 22 March, six fishermen from Tamil Nadu were injured when a group of robbers in two speed boats boarded their fishing boat and ransacked it. The robbers stole their catch, personal electronics and GPS equipment before fleeing. (",No information,No information,VIII,63
309,2021-171,26.333333,56.016667,2021-03-22,2021,"UNITED ARAB EMIRATES: On 22 March, a vessel transiting the Strait of Hormuz reported a suspicious approach by one small grey boat with 3 persons onboard wearing masks. The approach occurred approximately 21 NM north of Mina Saqr near position 26-20N 056-01E.",No information,No information,IX,62
310,2021-170,-12.0,-77.183333,2021-03-16,2021,"PERU: On 16 March, eight robbers, armed with knives, boarded an anchored bulk carrier at Callao Anchorage, near position 12-00S 077-11W. A duty crew member was threatened and restrained by the robbers. The perpetrators were able to steal ship's property and then released the crew member before making their escape. The incident was reported to the local port authorities, which resulted in a coast guard patrol vessel being dispatched to the scene to assist. (",No information,Bulk carrier,XVI,22
311,2021-169,-12.016667,-77.166667,2021-03-16,2021,"PERU: On 16 March, robbers boarded an anchored bulk carrier at Callao Anchorage, near position 12-01S 077-10W. The robbers managed to board the vessel, break into the forecastle store room and steal ship's properties without being spotted. The duty crew noticed the robbery had taken place while on routine rounds.",No information,Bulk carrier,XVI,22
312,2021-172,20.9,107.266667,2021-03-15,2021,"VIETNAM: On 15 March, robbers boarded a moored bulk carrier at Campha Port, near position 20-54N 107-16E. The robbers broke into two crew cabins, stealing cash before making their escape. The local authorities were informed and an investigation was carried out.",No information,Bulk carrier,XI,93
313,2021-167,2.9667,2.8833,2021-03-14,2021,"NIGERIA: On 14 March, pirates boarded the Luxembourg-flagged offshore supply vessel BOURBON EVOLUTION 802 approximately 208 NM south of Lagos near position 02-58N 002-53E. The crew is safe and stayed in the citadel during the boarding.",Boarding,offshore supply vessel BOURBON EVOLUTION 802,II,57
314,2021-168,2.7833,2.5833,2021-03-11,2021,"NIGERIA: On 11 March, pirates boarded the Malta-flagged tanker DAVIDE B approximately 227 NM southwest of Lagos near position 02-47N  002-35E. The pirates escaped with 15 kidnapped crewmembers.",No information,Malta-flagged tanker DAVIDE B,II,57
315,2021-165,-11.983333,-77.233333,2021-03-10,2021,"PERU: On 10 March, robbers boarded a bulk carrier anchored in Callao Anchorage, near position 11-59S 077-14W. The robbers, armed with knives, were spotted by a duty crewmember on the forward mooring station. The alarm was raised and the crew mustered, which resulted in the perpetrators escaping with stolen ship's property. The incident was reported to the local Vessel Traffic Service and a coast guard patrol vessel was tasked to the area, to search the waters surrounding the bulk carrier.",No information,Bulk carrier,XVI,22
316,2021-34,-8.75,13.283333,2021-03-10,2021,"On 10 March, robbers boarded an anchored container ship at Luanda Anchorage, near position 08:45S �?? 013: 1 7 E. The robbers managed to board the vessel and steal two mooring lines without being spotted. The duty crew discovered the robbery had taken place during routine rounds.",No information,No information,VII,57
317,2021-166,17.008,-61.763,2021-03-09,2021,"ANTIGUA AND BARBUDA: On 9 March, robbers boarded a sailing yacht anchored in English Harbor. The robbers stole a dinghy. It was recovered the next morning from a nearby mangrove area, minus the 15-HP Yamaha outboard engine, fuel tank, fuel line and oars. A report was made to the marina and the police.",No information,Sailing yacht,IV,25
318,2021-164,14.716667,53.516667,2021-03-08,2021,"GULF OF ADEN: On 8 March, a vessel reported a suspicious approach approximately IOS NM southeast of Nishtun, Yemen, near position 14-43N 053-31E. Four small craft with two people onboard each craft approached the vessel.",No information,No information,IX,62
319,2021-37,14.716667,53.516667,2021-03-08,2021,"On 8 March, a vessel reported a suspicious approach approximately 105 NM southeast of  Nishtun, Yemen, near position 14:43N �?? 053:31E. Four small craft with two people onboard each craft approached the vessel.",No information,No information,IX,62
320,2021-163,4.0,9.616667,2021-03-06,2021,"CAMEROON: On 6 March, robbers boarded an offshore supply ship anchored in Douala Anchorage, near position 04-00N 009-37E. The theft was noticed by the bosun during routine rounds. The crew searched the ship and ship's property was noted stolen. The incident was reported to local port authorities.",No information,Offshore supply ship,II,57
321,2021-35,4.0,9.616667,2021-03-06,2021,"On 6 March, robbers boarded an offshore supply ship anchored in Douala Anchorage, near position 04:00N �?? 009:37E. The theft was noticed by the bosun during routine rounds. The crew searched the ship and ship's property was noted stolen. The incident was reported to local port authorities.",No information,No information,II,57
322,2021-31,-2.645744,-80.123308,2021-03-06,2021,"On 6 March, robbers boarded the Jamaica-flagged container ship PACORA near Guayaquil. The robbers broke into nine specific containers before leaving the ship.",No information,PACORA,XII,22
323,2021-39,4.483333,119.6,2021-03-03,2021,"On 3 March, the Bangladesh-flagged bulk carrier AKIJ PEARL reported a suspicious approach  by a skiff carrying three persons 11 NM southeast of Sibutu Island, Tawi Tawi, near position 04:29N �?? 1 19:36E.",No information,AKIJ PEARL,XI,92
324,2021-36,-8.75,13.283333,2021-02-26,2021,"On 26 February, robbers boarded an offshore supply ship anchored in Luanda Anchorage, near  position 08:45S - 013: 1 7 E. The robbers were able to steal ship's property and escape unnoticed. The theft was noticed by a duty crewman during routine rounds. The crew conducted a search of the ship and confirmed the robbers had escaped. Incident reported to local port authorities.",No information,No information,VII,57
325,2021-38,24.383333,58.55,2021-02-25,2021,"On 25 February, the Bahamas-flagged vehicle carrier HELIOS RAY reported an explosion aboard the vessel approximately 44 NM northwest of Muscat, Oman, at position 24:23N �?? 058:33E. The vessel and crew are safe and the vessel was able to return to a safe port.",EXPLOSION,HELIOS RAY,IX,62
326,2021-40,1.15,103.816667,2021-02-21,2021,"On 21 February, robbers boarded the barge LIMAU 133 under tow by Malaysia-flagged tug  DANUM 50 in the eastbound lane of the Singapore Strait Traffic Separation Scheme, near position 01:09N �?? 103:49E. Two small crafts were spotted alongside the barge by an Indonesian Navy patrol vessel. Three robbers were onboard the barge, passing stolen items to two perpetrators in the small crafts. The patrol vessel intervened, which resulted in five perpetrators being arrested, two small crafts seized, and 150 kilograms of steel wire recovered.",No information,LIMAU 133,XI,71
327,2021-162,22.3694,91.262,2021-02-18,2021,"On 18 February, criminals kidnapped two fishermen. Two days later, seven criminals were  arrested by local coast guard forces in Hatia Upazila in Noakhali district. These criminals reportedly received a  ransom payment for the fishermen.",Two fishermen kidnapped,No information,VIII,63
328,2021-161,22.3694,91.262,2021-02-18,2021,"On 18 February, criminals kidnapped two fishermen. Two days later, seven criminals were  arrested by local coast guard forces in Hatia Upazila in Noakhali district. These criminals reportedly received a  ransom payment for the fishermen.",KIdnapped two fishermen,No information,VIII,63
329,2021-161,22.3694,91.262,2021-02-18,2021,"On 18 February, criminals kidnapped two fishermen. Two days later, seven criminals were  arrested by local coast guard forces in Hatia Upazila in Noakhali district. These criminals reportedly received a  ransom payment for the fishermen.",KIdnapped two fishermen,No information,VIII,63
330,2021-41,-6.083333,105.883333,2021-02-13,2021,"On 13 February, robbers boarded the Singapore-flagged container ship ALS JUVENTUS while  the ship was berthed at the Port of Jakarta, near position 06:05S �?? 105:53E. The third officer reported that the  padlock hinge for the passageway door leading to the engine room was broken. There was no sign of any  perpetrators onboard or nearby. Spare parts for the auxiliary engine were reported missing. The incident was  reported to the ship's Company Security Officer.",No information,ALS JUVENTUS,XI,71
331,2021-32,11.016667,-74.066667,2021-02-13,2021,"On 13 February, five robbers boarded a container ship under pilotage in the Magdalena River Passage near position 11:01N �?? 074:4E. The alarm was raised and the crew mustered inside the accommodation area. The pilot notified port authorities. The robbers made their escape with stolen items of ship's property after seeing the alerted crew. The container vessel was requested to anchor in order to allow the coast guard to board and conduct an investigation.",No information,No information,IV,24
332,2021-33,-12.0,-77.183333,2021-02-12,2021,"On 12 February, a robber boarded an anchored tanker at Callao Anchorage, near position 12:00S �?? 077: 1 1 W. A duty crewman spotted a robber armed with a knife. The alarm was raised and the crew mustered. Upon hearing the alarm, the robber made his escape in a small wooden boat. One mooring rope was reported stolen. All crew were reported safe.",No information,No information,XVI,22
333,2021-23,1.083333,103.566667,2021-02-09,2021,"On 9 February, two robbers boarded a China-flagged barge DAQIA HAIYU being towed by  China-flagged tug boat NING HAI TUO in the eastbound lane of the Traffic Separation Scheme, near position 01 :05N �?? 103:34E. When the robbers realized they had been spotted by the crew of the tug, they made their escape with some shackles stolen from the barge. The incident was reported to both the Singapore Coast Guard and the Republic of Singapore Navy's Maritime Security Force as well as the Indonesian authorities.",No information,DAQIA HAIYU,XI,71
334,2021-10,1.583333,5.116667,2021-02-09,2021,"On 9 February, pirates boarded the Panama-flagged tanker MARIA E approximately 113  NM northwest of Neves, Sao Tome and Principe, near position 01:35N �?? 005:07E in the Joint Development Zone along the maritime Nigeria �?? Sao Tome and Principe border.",No information,MARIA E,II,57
335,2021-9,-4.716667,11.75,2021-02-09,2021,"On 9 February, robbers boarded a container vessel at Pointe Noire Anchorage Area, near position 04:43S �?? 011:45E. During routine rounds, a duty crewman spotted three robbers, one armed with a knife. The alarm was then raised and the robbers escaped. Upon a search of the vessel, it was found that one blue polypropylene line was missing from a mooring station.",No information,container ship,II,57
336,2021-160,4.3748,6.2608,2021-02-09,2021,"NIGERIA: On 9 February, pirates in speedboats abducted at least six people near the Kpoma/Odioma and  Nembe/Brass waterways in Bayelsa State.",No information,No information,II,57
337,2021-128,-0.683333,6.116667,2021-02-08,2021,M/V ATTACKED IN 00-41S 006-07E AT 081658 UTC FEB 21 .,No information,No information,II,57
338,2021-11,-0.317303,6.220792,2021-02-08,2021,"On 8 February, crew onboard the drifting Bahamas-flagged tanker SEAKING saw a mother vessel launching a skiff with four persons, which approached the tanker at a high speed approximately 56 NM southwest of Sao Tome island. The master raised the alarm, increased speed, took evasive maneuvers, and non- essential crew mustered in the citadel. The skiff managed to come alongside, but the pirates were unable to board due to hardening measures taken by the master.",No information,SEAKING,II,57
339,2021-12,-0.350261,7.709439,2021-02-07,2021,"On 7 February, pirates hijacked the Gabon-flagged fishing vessel LIAN PENG YU 809 approximately 45 NM northeast of Pagalu Island. The ship was carrying a crew of 14 Chinese nationals. The Maritime Domain Awareness for Trade �?? Gulf of Guinea (MDAT-GoG) have confirmed that the hijacked fishing vessel is now being used as a mothership in the area of other incidents reported on 8 February and remains a threat to merchant shipping in the area. The vessel is a tuna fishing vessel with a blue hull and white superstructure. Any sightings of the vessel should be reported to the MDAT-GoG.",No information,LIAN PENG YU 809,II,57
340,2021-13,2.0,8.25,2021-02-06,2021,"On 6 February, pirates boarded the Marshall Islands-flagged tanker SEA PHANTOM about 50 NM north-northeast from Principe Island, near position 02:00N �?? 008:15E. Alert crew noticed  the pirates and retreated into the citadel. The pirates damaged communication and navigation equipment. Upon hearing of the incident the IMB PRC immediately alerted and liaised with regional authorities including a Portuguese Navy warship. The crew attempted to navigate the tanker to rendezvous with dispatched Cameroonian and Equatorial Guinean patrol boats. The ship reached the port of Malabo, in Equatorial Guinea, on the afternoon of 7 February. All crew reported safe.",No information,SEA PHANTOM,II,57
341,2021-14,3.516667,6.516667,2021-02-04,2021,"On 4 February, a container ship was approached while underway approximately 63 NM southwest of Bonny, Nigeria, near position 03:31 N �?? 006:31E. One speedboat with up to seven persons onboard came to within 1 NM of the container ship before aborting the approach. No ladders or weapons were sighted. The vessel and crew are reported as safe.",No information,container ship,II,57
342,2021-2,18.067744,-63.089114,2021-02-04,2021,"On 4 February, one robber tried to steal a raised dinghy from the davits of a sailing yacht  anchored near the Fort Louis Marina in Marigot Bay. The yacht owner heard noises on deck and confronted the robber, who then jumped overboard and swam to shore.",No information,yacht,IV,25
343,2021-1,-12.016667,-77.216667,2021-02-04,2021,"On 4 February, robbers boarded a vehicle carrier anchored at Callao Anchorage, near position 12:01 S �?? 077: 13W. Robbers were able to board the vessel, steal two mooring ropes from the fore peak store and escape unnoticed. The incident was reported to the harbor master and local police.",No information,RoRo,XVI,22
344,2021-15,5.565492,0.091689,2021-02-01,2021,"On 1 February, robbers boarded a bulk carrier anchored at Tema Anchorage. A duty crewman on routine rounds found that eight sounding pipe plugs had been stolen. The robbers boarded the vessel unnoticed.",No information,BULK CARRIER,II,57
345,2021-252,14.838333,41.946667,2021-02-01,2021,"01.02.2021 AT 0800 UTC IN POSITION 14-50.3N 041-56.8E, RED SEA. WHILE UNDERWAY, A TANKER WAS APPROACHED BY FOUR WOODEN GREY HULLED SKIFFS. WEAPONS AND LADDER WERE SIGHTED. ALARM SOUNDED, CREW MUSTERED IN CITADEL, SSAS ACTIVATED AND TANKER INCREASED SPEED.",No information,No information,IX,62
346,2021-24,3.933333,98.75,2021-01-31,2021,"On 31 January, two robbers boarded the Bahamas-flagged LNG tanker SURAYA AKI while anchored in Belawan Anchorage, near position 03:56N �?? 098:45E. Both the shipping company and the Belawan Vessel Traffic Information System were informed and all crew retreated to the citadel. Indonesian marine police were dispatched to the tanker and conducted a full search, which confirmed the robbers had escaped with items of ship's stores.",No information,SURAYA AKI,XI,71
347,2021-4,17.016669,-61.766669,2021-01-31,2021,"On 31 January, a second event occurred where robbers boarded a sailing yacht also anchored in Falmouth Harbour. The crew found the salon floor soaked in sea water and cash missing from the top of the chart table. No other items were taken. A police report was made.",No information,No information,IV,25
348,2021-3,17.016669,-61.766669,2021-01-31,2021,"On 31 January, robbers boarded a catamaran anchored in Falmouth Harbour. The captain found the salon door of the catamaran half open. Upon walking into the aft cockpit a man was found boarding a kayak just under the hoisted tender. The captain confronted the man to ask his business. No reply was  heard, when asked again the man said he was fishing as he paddled away. Wet footprints were found in the salon and at the top of the stairs leading to each hull where persons were sleeping. A review of the yachts contents was conducted and nothing was found missing.",No information,catamaran,IV,25
349,2021-25,6.746567,125.776219,2021-01-30,2021,No information,No information,KOTA NEBULA,XI,92
350,2021-16,4.152103,1.583808,2021-01-30,2021,"On 30 January, pirates boarded the Marshall Islands-flagged bulk carrier ROWAYTON EAGLE  approximately 200 NM southeast of Accra. The crew mustered in the citadel. After failing to breach the citadel, the pirates left. The vessel subsequently was joined by a Nigerian Security Escort Vessel and escorted into Nigerian waters.",No information,ROWAYTON EAGLE,II,57
351,2021-30,22.916667,70.166667,2021-01-29,2021,"On 29 January, robbers boarded a tanker anchored off Kandla Anchorage, near position 22:55N �??  070:10E. A duty crewman spotted three robbers boarding the vessel. The alarm was raised, which resulted in the perpetrators escaping empty-handed.",No information,No information,VIII,63
352,2021-26,1.266667,104.016667,2021-01-29,2021,"On 29 January, three robbers armed with knives, boarded the Liberia-flagged general cargo ship VANTAGE WAVE approximately 5.8 NM northwest of Tanjung Pergam, Bintan Island, in the eastbound lane of the Singapore Strait, near position 01:16N �?? 104: 1 BE. A search of the ship was conducted. Nothing was stolen and the crew was safe. Singapore, Malaysian, and Indonesian authorities were notified.",No information,VANTAGE WAVE,XI,71
353,2021-149,1.267,104.3,2021-01-29,2021,"INDONESIA: On 29 January, three robbers armed with knives, boarded the Liberia-flagged general cargo ship VANTAGE WAVE approximately 5.8 NM northwest of Tanjung Pergam, Bintan Island, in the eastbound lane of the Singapore Strait, near position 01-16N — 104-18E. A search of the ship was conducted. Nothing was stolen and the crew was safe. Singapore, Malaysian, and Indonesian authorities were notified.",Three robbers armed with knives,Liberia-flagged general cargo ship VANTAGE WAVE,XI,71
354,2021-127,1.286881,104.296711,2021-01-28,2021,"THREE ROBBERS ARMED WITH LONG KNIVES BOARDED A GENERAL CARGO SHIP UNDERWAY. DUTY CREW SPOTTED THE ROBBERS IN THE ENGINE ROOM AND RAISED THE ALARM. CREW MUSTERED. SEEING THE CREW ALERTNESS, THE ROBBERS ESCAPED EMPTY HANDED. INCIDENT REPORTED TO VTIS.",No information,No information,XI,71
355,2021-27,1.266667,104.026667,2021-01-28,2021,"On 28 January, ten robbers armed with knives, boarded the Liberia-flagged bulk carrier ELVIA approximately 6 NM northwest of Tanjung Pergam, Bintan Island, in the eastbound lane of the Singapore Strait, near position 01:16N �?? 104: 1 6E. A search of the ship was conducted. Nothing was stolen and the crew was safe. Singapore, Malaysian, and Indonesian authorities were notified.",No information,ELVIA,XI,71
356,2021-150,1.267,104.267,2021-01-28,2021,"INDONESIA: On 28 January, ten robbers armed with knives, boarded the Liberia-flagged bulk carrier EL VIA approximately 6 NM northwest of Tanjung Pergam, Bintan Island, in the eastbound lane of the Singapore Strait, near position 01-16N — 104-16E. A search of the ship was conducted. Nothing was stolen and the crew was safe, Singapore, Malaysian, and Indonesian authorities were notified.",Ten robbers armed with knives,Liberia-flagged bulk carrier EL VIA,XI,71
357,2021-17,1.833333,3.416667,2021-01-26,2021,"On 26 January, a skiff approached the Hong Kong-flagged tanker SEAFRONTIER approximately 163 NM southwest of Agbami oil field near position 01 :50N �?? 003:25E. The vessel was reportedly under a security escort when the approach occurred.",No information,SEAFRONTIER,II,57
358,2021-5,18.046036,-63.107533,2021-01-26,2021,"On 26 January, robbers boarded a sailing yacht anchored in Simpson Bay Lagoon. The  handle from the bilge pump was used to force the padlock from the companionway hatch. The boat was  methodically searched and laptops and other electronics, fishing gear, flare gun/shells, and large bolt/cable cutters were stolen.",No information,No information,IV,25
359,2021-28,1.266667,104.025,2021-01-25,2021,"On 25 January, five robbers boarded the Barbados-flagged bulk carrier ARK ROYAL underway in the Singapore Strait near position 01:16N �?? 104: 1 5E. A subsequent search of the vessel by the crew determined the robbers had fled empty-handed",No information,ARK ROYAL,XI,71
360,2021-29,0.007606,109.071928,2021-01-24,2021,"On 24 January, the Indonesian Maritime Security Agency announced that they had detained  two vessels, Iran-flagged tanker HORSE and Panama-flagged tanker FREA in Pontianak waters, West Kalimantan. The ships were held on suspicion of illegally transferring oil in Indonesian waters. In a statement, a spokesperson stated: ""The tankers, first detected at 5:30 a.m. local time on 23 January, concealed their identity by not showing their national flags, turning off the automatic identification systems, and did not respond to a radio call.""  Indonesian authorities escorted the vessels to Batam Island in Riau Island Province for further investigation.",No information,No information,XI,71
361,2021-18,1.066667,5.066667,2021-01-23,2021,"On 23 January, pirates boarded the Liberia-flagged container ship MOZART approximately 98 NM northwest of Sao Tome near position 01:04N �?? 005:04E while transiting from Lagos, Nigeria, to Cape Town, South Africa. Pirates managed to breach the citadel and kidnap 15 Turkish crewmen. One Azerbaijani crew member was killed during the incident. Pirates left three crew members onboard the vessel when they departed. The vessel is now safely docked in Port Gentil, Gabon.",No information,MOZART,II,57
362,2021-19,3.516667,5.483333,2021-01-21,2021,"On 21 January, a small craft approached an underway container vessel approximately 64 NM  southwest of Bonny near position 03:31N �?? 005:29E. A small craft came to within 0.3 NM of the container vessel before aborting the approach.",No information,CONTAINER,II,57
363,2021-20,-6.033333,12.35,2021-01-18,2021,"On 18 January, three robbers boarded a refrigerated cargo vessel anchored at Banana Anchorage, near position 06:02S �?? 012:21 E. A duty crew member spotted the robbers in the forecastle store room and informed the officer of the watch. When the crew raised the alarm, the robbers fled. A subsequent search of the vessel by the crew identified broken locks on both the paint store room and C02 room. The robbers stole four  cans of paint and twenty lead seals from C02 cylinders, including the pilot cylinder.",No information,REFRIGERATED VESSEL,VII,57
364,2021-6,12.0,-61.7,2021-01-17,2021,"On 17 January, robbers stole a locked 20-HP outboard motor from its dinghy at the sand spit near the head of Chemin Bay. Local police and the coast guard were notified.",No information,No information,IV,25
365,2021-8,51.888286,4.437722,2021-01-16,2021,"On 16 January, customs officers in Rotterdam discovered two separate shipments of  cocaine, totaling approximately 1,069 kilograms. The first shipment of 839 kilograms was found in a shipping container from Brazil with two old Volkswagen vans. The second shipment of 230 kilograms of cocaine was found in a shipping container full of beer.",drug smuggling,No information,I,37
366,2021-22,12.1,44.416667,2021-01-14,2021,"On 14 January, a bulk carrier was approached by a skiff approximately 58 NM southwest of  Aden, Yemen, near position 12:06N �?? 044:25E. During the incident, the crew sounded the alarm and mustered. At a distance of 0.2 NM, the onboard security team identified weapons and a ladder in the skiff and fired warning shots. The skiff subsequently ceased its approach and moved away.",No information,BULK CARRIER,IX,62
367,2021-7,18.057022,-63.114572,2021-01-14,2021,"On 14 January, robbers boarded a sailing yacht moored near Explorer Island, Simpson Bay lagoon. Laptops and electronics were stolen.",No information,No information,IV,25
368,2021-126,-0.066667,-51.166667,2021-01-13,2021,"BRAZIL: On 13 January, robbers boarded a bulk carrier berthed at Santana Port, near position 00-04S 051-10W. The robbery was discovered by duty crew on routine rounds. The robbers were able to board the bulk carrier, steal ship's property, and escape undetected. The crew notified the local police, who subsequently boarded the bulk carrier to carry out an investigation.",No information,Berthed bulk carrier,V,24
369,2021-123,2.6649,6.8414,2021-01-13,2021,"NIGERIA: On 13 January, the Singapore-flagged container ship MAERSK CARDIFF was reportedly approached approximately 150 NM south-southwest of Bonny. MDAT-GoG has confirmed that the vessel and crew are safe. A security vessel that was dispatched by Nigerian authorities to assist the vessel had arrived at the scene and confirmed that no suspicious craft were in the area.",No information,Singapore-flagged container ship MAERSK CARDIFF,II,57
370,2021-118,18.0691,-63.0887,2021-01-10,2021,"SAINT MARTIN: At 0340 on 10 January, the owner of a catamaran anchored in Marigot Bay was onboard and heard noise on deck. He found a woman hiding near the mast; she then jumped overboard and swam ashore. A locker had been opened and rifled through, with several items removed but left behind. A police report was made.",Boarding,Catamaran at anchor,IV,25
371,2021-119,10.266667,-76.2,2021-01-09,2021,"COLOMBIA: On 9 January, robbers boarded a vessel underway 33 NM west-southwest of Cartagena near position 10-16N 076-12W.",No information,Vessel underway,IV,24
