reference,date,position,navArea,subreg,hostility,victim,description,
2021-304,2021-08-03,"24°59'30""N
57°58'36""E",IX,62,,,"03.08.2021: 1200 UTC: POSN: 24-59.5N 057-58.6E (AROUND 60NM EAST OF FUJAIRAH), GULF OF OMAN. MASTER REPORTED UNKNOWN PERSONS BOARDED THE BITUMEN TANKER WITH INTETIONS TO FORCED THE TANKER TO ENTER IRANIAN WATERS. TANKER LATER REPORTED SAFE AND BOARDERS HAD LEFT.",
2021-202,2021-08-01,"9°16'00""N
13°48'00""W",II,51,,Anchored bulk carrier,"GUINEA: On 1 August, four robbers boarded a bulk carrier anchored in Conakry Anchorage, near position 09-16N 013-48W. The alarm was raised as the intruders forced their way into the accommodation area, resulting in non-duty crewmen locking themselves in their cabins. The intruders broke into the master’s cabin, and forced the master to open the ship’s safe and hand over cash. Then the intruders tried to kidnap the duty crew and master, but failed. The intruders escaped, taking cash and technical equipment from the master’s cabin. The master returned to the bridge to inform the port authorities and activated the ships SSAS. Further investigations are ongoing.",
2021-205,2021-07-31,"5°35'00""N
0°03'00""E",II,57,,Anchored container ship,"GHANA: On 31 July, robbers approached a container ship anchored in Tema Anchorage, near position 05-35N 000-03E. The robbers were spotted by duty crew members, the alarm was raised, and the fire hoses were activated. These actions resulted in the robbers departing. Within an hour, the same robbers approached the containership for a second time, however, this attempt was also unsuccessful.",
2021-204,2021-07-31,"5°35'00""N
0°03'00""E",II,57,,Anchored container ship,"GHANA: On 31 July, robbers approached a container ship anchored in Tema Anchorage, near position 05-35N 000-03E. The robbers were spotted by duty crew members, the alarm was raised, and the fire hoses were activated. These actions resulted in the robbers departing. Within an hour, the same robbers approached the containership for a second time, however, this attempt was also unsuccessful.",
2021-203,2021-07-31,"5°35'00""N
0°03'00""E",II,57,,Anchored container ship,"GHANA: On 31 July, robbers approached a container ship anchored in Tema Anchorage, near position 05-35N 000-03E. The robbers were spotted by duty crew members, the alarm was raised, and the fire hoses were activated. These actions resulted in the robbers departing. Within an hour, the same robbers approached the containership for a second time, however, this attempt was also unsuccessful.",
2021-200,2021-07-30,"0°03'00""S
51°06'00""W",V,24,,General cargo ship,"On 30 July, robbers boarded a general cargo ship anchored in Fazendinha Anchorage, near position 00-03S 051-06W. They were able to board the vessel, steal items of ship's stores, and escape unnoticed. The robbery was discovered by a duty crewman conducting routine rounds. The incident was reported to the local agent who also informed the harbor master.",
2021-208,2021-07-29,"4°15'00""S
152°11'00""E",X,82,,Anchored tanker PUFFIN PACIFIC,"PAPUA NEW GUINEA: On 29 July, two robbers boarded the Singapore-flagged tanker PUFFIN PACIFIC anchored in Rabaul Anchorage, near position 04-15S 152-11E. The robbers were able to board the tanker and enter the accommodation area through a door on the starboard side upper deck. The robbers were spotted by duty crew members and the alarm was raised. Upon hearing the alarm, the robbers made their escape with a laptop they had been able to steal from the ship's office. They used the port anchor chain to escape into a small, unlit rowing boat, in which a third perpetrator was waiting.",
2021-207,2021-07-29,"4°15'00""S
152°11'00""E",X,82,,Anchored tanker PUFFIN PACIFIC,"PAPUA NEW GUINEA: On 29 July, two robbers boarded the Singapore-flagged tanker PUFFIN PACIFIC anchored in Rabaul Anchorage, near position 04-15S 152-11E. The robbers were able to board the tanker and enter the accommodation area through a door on the starboard side upper deck. The robbers were spotted by duty crew members and the alarm was raised. Upon hearing the alarm, the robbers made their escape with a laptop they had been able to steal from the ship's office. They used the port anchor chain to escape into a small, unlit rowing boat, in which a third perpetrator was waiting.",
2021-207,2021-07-29,"4°15'00""S
152°11'00""E",X,82,,Anchored tanker PUFFIN PACIFIC,"PAPUA NEW GUINEA: On 29 July, two robbers boarded the Singapore-flagged tanker PUFFIN PACIFIC anchored in Rabaul Anchorage, near position 04-15S 152-11E. The robbers were able to board the tanker and enter the accommodation area through a door on the starboard side upper deck. The robbers were spotted by duty crew members and the alarm was raised. Upon hearing the alarm, the robbers made their escape with a laptop they had been able to steal from the ship's office. They used the port anchor chain to escape into a small, unlit rowing boat, in which a third perpetrator was waiting.",
2021-201,2021-07-29,"10°19'00""N
75°31'00""W",IV,24,,Bulk carrier OTAGO HARBOUR,"COLOMBIA: On 29 July, two robbers boarded the Hong Kong-flagged bulk carrier OTAGO HARBOUR anchored in Cartagena Anchorage, near position 10-19N 075-31W. A duty crewman on routine rounds saw the robbers and raised the alarm. Seeing the alerted crew, the robbers escaped with stolen ship property. The incident was reported to local authorities.",
2021-206,2021-07-27,"0°53'00""S
7°07'00""E",II,57,,,"SAO TOME AND PRINCIPE: On 27 July, a merchant vessel underway approximately 93 NM west of Port Gentil, Gabon, reported a suspicious approach by one fishing vessel and two small skiffs. The incident occurred near position 00-53S 007-07E at approximately 0400 UTC.",
2021-190,2021-07-19,"19°32'20.4""N
92°10'08.4""W",IV,28,,Sandunga oil platform,"MEXICO: On 19 July, at least five armed men using two speedboats boarded the Sandunga oil platform, located in the Bay of Campeche. The robbers stole tools, supplies, self-contained breathing apparatuses, camera-equipped diving helmets, diving suits, flippers, boots, and workers’ personal belongings.",
2021-197,2021-07-18,"18°18'27.36""N
64°42'26.64""W",IV,25,,Anchored sailing yacht,"U.S. VIRGIN ISLANDS: On 18 July, robbers stole a dinghy and outboard motor from a sailing yacht anchored in Salt Pond Bay.",
2021-198,2021-07-17,"14°33'00""N
120°56'00""E",XI,91,,Container ship MAERSK NUSSFJORD,"PHILIPPINES: On 17 July, eight robbers boarded the Panama-flagged container ship MAERSK NUSSFJORD while anchored in Manila Port South, near position 14-33N 120-56E. One of the intruders pointed an improvised gun at a duty watchman’s head, tied him to the ships railings, and stole his radio. Seven other intruders appeared and broke the padlock to the boatswain’s locker, stealing a coil of new mooring rope. All eight intruders escaped from the vessel in an unmarked motorboat. The watchman untied himself and informed the duty officer, who raised the alarm. The incident was reported to the Port Authorities who tasked a patrol boat to search the area.",
2021-195,2021-07-17,"1°16'00""N
104°13'00""E",XI,71,,Bulk carrier STAR NIKE,"INDONESIA: On 17 July, at 0016 local time, robbers armed with a knife boarded the Marshall Islands-flagged bulk carrier STAR NIKE underway in the eastbound lane of the Singapore Strait TSS near position 01-16N 104-13E. The robbers were spotted in the steering room. Upon being discovered, the robbers made their escape. All crew were reported safe and an assessment is being conducted to identify which items were stolen.",
2021-194,2021-07-17,"1°16'00""N
104°15'00""E",XI,71,Boarding,Bulk carrier ADVENTURER,"INDONESIA: On 17 July, at 00:40 local time, five robbers armed with knives boarded the Liberian-flagged bulk carrier ADVENTURER underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS) near position 01-16N 104-15E. The robbers were spotted in the engine room before making their escape. Nothing was reported stolen, and all crew were reported safe.",
2021-193,2021-07-15,"12°00'10.8""N
61°44'56.4""W",IV,25,,Anchored sailing yacht,"GRENADA: On 15 July, robbers boarded a sailing yacht anchored in Mt. Hartman Bay and stole a dinghy and a 15-HP engine. A report was made to the coast guard.",
2021-192,2021-07-15,"18°34'00""N
72°24'00""W",IV,26,Boarding,Bulk carrier MAESTRO DIAMOND,"HAITI: On 15 July, at 2130 local time, five robbers armed with firearms and knives boarded an anchored Marshall Islands-flagged bulk carrier MAESTRO DIAMOND, using long ladders, at Port Au Prince Anchorage near position 18-34N 072-24W. The crew raised the alarm and mustered in the accommodation. Upon hearing the alarm, the robbers made their escape empty-handed. The incident was reported to the port authorities.",
2021-191,2021-07-14,"18°48'00""N
91°46'00""W",IV,28,,Offshore support vessel,"MEXICO: On 14 July, at 2230 local time, a fishing boat with up to five persons onboard armed with a gun approached an offshore support vessel while anchored at Ciudad Del Carmen Anchorage area, near position 18-48N 091-46W. Upon seeing the armed guard onboard the support vessel, they aborted their approach and moved away. The incident was reported to the port authority.",
2021-196,2021-07-13,"22°02'00""N
88°05'00""E",VIII,63,,Bulk carrier NORD PENGUIN,"INDIA: On 13 July, robbers managed to board a Singapore-flagged bulk carrier NORD PENGUIN unnoticed while berthed at Haldia port near position 22-02N 088-05E. The duty crew in the engine noticed the padlock of the entrance door to the engine room broken and spares missing. Alarm was raised, the crew were mustered, and a search was carried out. The incident was reported to the local agent.",
2021-151,2021-07-12,"12°01'00""S
77°13'00""W",XVI,22,,,"On 12 July, at 19:20 local time, five robbers boarded a product tanker using ropes while anchored at Callao Anchorage near position 12:01S – 077:13W. The duty crew noticed the robbers and raised the alarm. Following their detection, the robbers escaped in a motor boat. The crew were mustered and search was carried out. The bosun’s store padlock was cut, but no items were reported stolen. The incident was reported to Callao port control and the patrol boat in the vicinity was notified.",
2021-199,2021-07-10,"14°33'00""N
120°55'00""E",XI,91,,Container ship AS ROMINA,"PHILIPPINES: On 10 July, two robbers boarded the Portugal-flagged container ship AS ROMINA while anchored at Manila Port, near position 14-33N 120-55E. A duty crewman discovered the robbers lowering materials by rope into a motorboat from the forecastle. Upon seeing the duty crewman, the robbers jumped overboard and escaped. An inspection confirmed that the boson’s storeroom was broken into and a number of ship’s items were missing. A maritime patrol was conducted within the area.",
2021-153,2021-07-08,"3°55'00""N
98°44'00""E",XI,71,,Singapore-flagged chemical tanker OCEAN MORAY,"On 8 July, at 02:18 local time, two robbers armed with a knife and a rod boarded the Singapore-flagged chemical tanker OCEAN MORAY anchored at Belawan Anchorage near position 03:55N – 098:44E. It was suspected that the robbers boarded through the hawse pipe by climbing the anchor chain. The alarm was raised and the robbers escaped through fire hoses secured to a bollard. Two fire hose couplings were reported stolen. The incident was reported to the port authorities.",
2021-152,2021-07-04,"9°36'00""N
79°37'00""W",IV,26,,,"PANAMA: On between 3 and 5 July, a sailing yacht moored off Linton Bay Marina near position 09:36N – 079:34W was boarded. The robbers came prepared with tools and broke the door of the well locked yacht. The stolen items include a 15HP Yamaha outboard, a generator, binoculars, electronics chart plotters, a drone, tools and other items. The incident was reported to the local authorities.",
2021-145,2021-07-04,"12°00'00""S
77°13'00""W",XVI,22,,Singapore-flagged bulk carrier SANTA BARBARA,"PERU: On 2 July, at 21:12 local time, six robbers were spotted by the duty crew climbing through the starboard side anchor chain to board the Singapore-flagged bulk carrier SANTA BARBARA while anchored at Callao Inner Anchorage, near position 12:00S – 077:13W. The alarm was raised and the crew mustered. The robbers escaped empty-handed. The incident was reported to the coastal state authorities, who subsequently informed the naval vessel on patrol.",
2021-133,2021-06-30,"12°01'00""S
77°31'00""W",XVI,22,,Tanker,"PERU: On 30 June, at 00:30 local time, robbers boarded a product tanker previously boarded on 28 June while it was anchored at Callao Anchorage near position 12:01S – 077:31W. The incident was reported to the port authority.",
2021-134,2021-06-29,"1°17'00""N
104°16'00""E",XI,71,,,"INDONESIA: On 30 June, at 00:40 local time, four robbers boarded the Liberia-flagged bulk carrier J MARE underway in the eastbound lane of the Singapore Strait TSS near position 01:17N – 104:16E. The robbers were spotted in the engine room. After threatening crew members with a metal object, the robbers escaped with stolen engine spares.",
2021-132,2021-06-29,"12°01'00""S
77°31'00""W",XVI,22,,Tanker,"PERU: On 28 June, at 16:00 local time, robbers boarded a product tanker at anchor at Callao Anchorage near position 12:01S – 077:31W. Ship’s spares were reported stolen. The incident was reported to the port authority.",
2021-129,2021-06-27,"14°33'42""N
120°55'24""E",XI,91,,,"DUTY OFFICER ONBOARD AN ANCHORED CONTAINER SHIP NOTICED A SUSPICIOUS CRAFT IN THE VICINITY AND NOTIFIED THE DUTY CREW TO INVESTIGATE. FORECASTLE DOOR PADLOCK FOUND BROKEN AND SHIP PROPERTIES REPORTED STOLEN. INCIDENT REPORTED TO VTS, COAST GUARD AND LOCAL AGENT.",
2021-146,2021-06-27,"14°34'00""N
120°55'00""E",XI,91,,Cyprus-flagged container ship NORDTIGER,"PHILIPPINES: On 28 June, at 03:15 local time, robbers boarded the Cyprus-flagged container ship NORDTIGER, anchored at Manila Anchorage near position 14:34N – 120:55E. The officer on duty sighted two robbers in the bosun's store. The alarm was raised, which resulted in the perpetrators jumping overboard and escaping in a motorized banca. A search was made, which confirmed that one set of breathing apparatus had been stolen. The incident was reported to the Manila port authorities and the Philippines Coast Guard.",
2021-147,2021-06-26,"16°59'57.29""N
82°18'23.83""E",VIII,63,,,"INDIA: On 26 June, at 23:40 local time, a robber managed to board an anchored supply vessel at Kakinada Anchorage. A robber was sighted by the duty crew at the main deck aft rope store. The alarm was raised, and the robber escaped upon being noticed with stolen mooring rope.",
2021-136,2021-06-26,"1°17'00""N
104°17'00""E",XI,71,,Panama-flagged bulk carrier BUSAN STAR,"INDONESIA: On 25 June, at 23:45 local time, a robber armed with a knife boarded the Panama-flagged bulk carrier BUSAN STAR while underway in the eastbound lane of the Singapore Strait TSS near position 01:17N – 104:17E. The robber escaped upon being sighted. The alarm was raised and the crew mustered. No crew members were injured, and nothing was stolen. The master reported the incident to the Singapore Traffic Vessel Information System via VHF.",
2021-135,2021-06-25,"1°17'00""N
104°17'00""E",XI,71,,Panama-flagged bulk carrier SAKIZAYA CHAMPION,"MALAYSIA: On 26 June, at 00:14 local time, four robbers boarded the Panama-flagged bulk carrier SAKIZAYA CHAMPION while underway in the eastbound lane of the Singapore Strait TSS near position 01:17N – 104:17E. The robbers were discovered in the engine room, and escaped upon being spotted. The alarm was raised and the crew mustered. Engine spares were reported stolen. The master reported the incident to the Singapore Traffic Vessel Information System via VHF.",
2021-138,2021-06-24,"5°60'00""S
106°54'00""E",XI,71,,,"INDONESIA: On 24 June, at 14:39 local time, two robbers boarded a container ship during anchoring operations in Jakarta Anchorage near position 05:60N – 106:54E. The duty crew noticed the robbers and raised the alarm. Following their detection, the robbers escaped in a waiting boat with four accomplices onboard. The incident was reported to the coast guard, who conducted an investigation. No items were reported stolen.",
2021-137,2021-06-21,"14°34'00""N
120°55'00""E",XI,91,Hong Kong-flagged container ship MOUNT BUTLER,,"PHILIPPINES: On 22 June, at 03:40 local time, robbers boarded the Hong Kong-flagged container ship MOUNT BUTLER anchored at Manila Anchorage near position 14:34N – 120:55E. The robbers stole items from the ship’s stores and escaped undetected. The theft was discovered by duty crew conducting routine rounds. The incident was reported to the port authorities via the local agent.",
2021-130,2021-06-15,"14°33'48""N
120°55'24""E",XI,91,,,"DUTY WATCHMAN ON ROUTINE ROUNDS ONBOARD AN ANCHORED CONTAINER SHIP NOTICED AROUND FOUR PERSONS IN A SMALL BOAT UNDER THE FORECASTLE. HE IMMEDIATELY INFORMED THE DUTY OFFICER WHO SENT THE SECOND SECURITY WATCHMAN TO ASSIST. SEEING THE WATCHMEN, THE PERSONS STARTED THEIR BOAT'S ENGINE AND MOVED AWAY. A SEARCH WAS CARRIED OUT. THE PAINT STORE WAS FOUND BROKEN INTO AND SHIP'S STORES STOLEN. VTMS MANILA INFORMED.",
2021-131,2021-06-09,"14°33'24""N
120°55'12""E",XI,91,,,"UNNOTICED, ROBBERS BOARDED AN ANCHORED CONTAINER SHIP AND ESCAPED WITH SHIP'S STORES. THE THEFT WAS NOTICED BY THE DUTY CREW DURING ROUTINE ROUNDS. COAST GUARD INFORMED.",
2021-140,2021-06-06,"2°49'00""N
2°31'00""E",II,57,,Marshall Islands-flagged bulk carrier CP TIANJIN,"GULF OF GUINEA: On 6 June, six armed pirates in a skiff, with visible weapons and ladders with hooks, approached the underway Marshall Islands-flagged bulk carrier CP TIANJIN at 18:00 local time in position 02:49N – 002:31E, approximately 208 NM south-southwest of Lagos. The alarm was raised and the crew were mustered. The master sent a distress message, increased speed, and commenced evasive maneuvers. After attempting to board for 40 minutes, the pirates aborted and moved away. The crew and the vessel were reported safe.",
2021-139,2021-06-06,"4°18'19.74""N
6°13'35.05""E",II,57,,,"NIGERIA: On 6 June at 12:00 local time, an undetermined number of armed men attacked an underway passenger boat carrying 15 passengers from Twon-Brass near the Atlantic Ocean to Yenagoa, Bayelsa State Local Government Area. The armed men then kidnapped four passengers.",
2021-148,2021-06-04,"1°16'00""N
104°14'00""E",XI,71,,Singapore-flagged bulk carrier CAPE LILY,"INDONESIA: On 5 June, at 01:30 local time, three robbers managed to board the Singapore-flagged bulk carrier CAPE LILY while underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme near position 01:16N – 104:14E. The robbers were spotted in the engine room then made their escape with stolen engine spare parts. The master reportedly requested no assistance, and the vessel continued its voyage.",
2021-141,2021-06-04,"5°28'00""N
0°46'00""E",II,57,,,"GHANA: On 4 June, a wooden boat with ten people onboard approached an underway tanker in position 05:28N – 000:46E at 10:40 local time, approximately 46 NM east-southeast of Tema. The boat was signaling distress and requesting the ship to reduce speed. Because there was no sign of damage or distress to the boat, the master increased speed and raised the alarm for the crew to retreat to the citadel. When the boat came to within seventy meters, the master evaded all boarding attempts by putting the suspicious boat at her stern. The boat aborted its pursuit after following the tanker for twenty minutes. There was no piracy-related equipment sighted onboard the suspicious boat.",
2021-142,2021-06-03,"4°24'42.28""N
7°04'08.86""E",II,57,,,"NIGERIA: On 3 June, two speedboats with an undetermined number of armed men onboard intercepted and attacked two underway passenger boats returning to Port Harcourt on Ke community waterways in Degema, Rivers State Local Government Area. The robbers reportedly shot two passengers, who later died, and carted away goods and passengers' personal belongings, including the boats' two 75-horsepower outboard engines.",
2021-154,2021-06-02,"1°16'00""N
104°14'00""E",XI,71,,,"On 2 June, at 00:37 local time, four robbers armed with knives were sighted by the chief engineer in the steering gear room of a bulk carrier while underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme near position 01:16N – 104:14E. The master requested to return to Singapore in order to confirm that there were no perpetrators onboard and that nothing was stolen. All crew were reported safe.",
2021-144,2021-06-01,"14°22'00""S
40°43'00""E",VII,61,,,"MOZAMBIQUE: On 1 June, two robbers armed with knives were spotted by the duty crew onboard a tanker anchored at Fernao Veloso Bay Anchorage at 00:20 local time near position 14:22S – 04043E. The officer of the watch raised the alarm and the crew mustered. The perpetrators subsequently escaped without stealing anything. The incident was reported to the local port authority.",
2021-143,2021-05-31,"4°33'00""N
2°23'00""E",II,57,,Ghana-flagged fishing vessel IRIS S,"BENIN: On 31 May, two skiffs approached the Ghana-flagged fishing vessel IRIS S at 19:30 local time in position 04:33N - 002:23E, approximately 107 NM south of Cotonou, forcing it to stop. Seven armed pirates boarded the vessel and stayed onboard for about an hour. The pirates kidnapped five crew members—the captain, chief officer, second officer, chief engineer (all Korean nationals), and an engineer (Filipino)—and took personal crew belongings and other valuables. The remaining 31 crew members were left unharmed.",
2021-155,2021-05-26,"21°00'00""N
71°56'00""E",VIII,63,,Panama-flagged chemical tanker DAWN 1,"On 26 May, at 08:30 local time, ten robbers in two fishing boats boarded a Panama-flagged chemical tanker DAWN 1 under tow by tugboat VENTURE approximately 7 NM southeast of Mahuva, Gujarat, near position 21:00N - 071: 56E. The robbers approached the towed dead ship from the astern and used a ladder to board the vessel. The master of the tugboat activated an Emergency Position Indicating Radio Beacon, which resulted in a marine police vessel being sent to the location. The perpetrators made their escape before the marine police vessel arrived. The vessels were checked and investigated upon arrival in Alang anchorage the following day. No details available on the items stolen from the dead vessel DAWN 1.",
2021-187,2021-05-26,"4°41'00""N
7°09'00""E",II,57,Boarding,,"NIGERIA: On 26 May, a robber boarded a cargo vessel berthed at Onne Port at 0420 local time near position 04-41N 007-09E. The robber escaped in a canoe after the duty watchman raised the alarm. Following the incident, security personnel and the Nigerian Navy were alerted. A patrol vessel was dispatched to investigate, and approximately one hour later the robber was apprehended.",
2021-188,2021-05-24,"1°16'00""N
104°16'00""E",XI,71,Boarding,Bulk carrier RB EDEN,"INDONESIA: On 24 May at 0048 local time, up to three robbers were seen in the engine room of Marshall Islands-flagged bulk carrier RB EDEN while it transited the eastbound lane of the Singapore Strait Traffic Separation Scheme near position 01-16N 104-16E. The alarm was raised and the crew mustered. The vessel anchored at the OPL (outside port limits), and a full search was conducted to ensure no robbers remained onboard. The search confirmed that the perpetrators had escaped and that nothing was stolen. The Master reported the incident to the Vessel Traffic Information System on the VHF.",
2021-189,2021-05-23,"1°17'00""N
104°17'00""E",XI,71,Boarding,Bulk carrier ALEA,"INDONESIA: On 23 May at 2230 local time, four robbers armed with knives were sighted in the engine room of a Bahamas-flagged bulk carrier ALEA while underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme, near position 01-17N 104-17E. The robbers threatened the crew on duty, who then retreated to the accommodation. Following this encounter, the alarm was raised and crew were mustered. The robbers escaped empty-handed. The incident was reported to Vessel Traffic Information System authorities.",
2021-185,2021-05-19,"4°33'00""N
0°15'00""E",II,57,,,"GHANA: On 19 May, eight armed perpetrators in a skiff initially approached and fired upon a Ghana-flagged fishing trawler at 1830 local time in position 04-33N 000-15E, approximately 66 NM south of Tema. The trawler stopped, and five armed pirates boarded and remained onboard for about six hours. The pirates kidnapped five crew members (four Chinese nationals and one Russian), and removed personal crew belongings and other valuables. No injuries were reported to the remaining crew. The trawler's crew identified the pirates as Nigerian. After the kidnapping, the trawler headed back towards Tema port.",
2021-186,2021-05-18,"14°57'00""N
42°05'00""E",IX,62,,Research vessel,"RED SEA: On 18 May, four persons onboard a small-sized boat suspiciously approached a non-government organization research vessel and fired shots into the air while in a position approximately 50 NM west-northwest of Hudaydah, Yemen, near 14-57N 042-05E. No injuries have been reported.",
2021-184,2021-05-09,"1°14'00""N
104°02'00""E",XI,71,Attempted boarding,ASTRO PERSEUS,"INDONESIA: On 9 May, five robbers attempted to board the underway Greece-flagged tanker ASTRO PERSEUS in the eastbound lane of the Singapore Strait Traffic Separation Scheme, near position 01-14N 104-02E. A search of the ship was conducted, which confirmed that there were no perpetrators onboard and nothing was stolen. A hook attached to a rope was found on the stern of the vessel.",
2021-182,2021-05-03,"15°04'00""N
41°56'00""E",IX,62,,,"RED SEA: On 3 May, a vessel reported a suspicious approach approximately 60 NM west of Al Hudaydah, Yemen, near position 15-04N 041-56E. The vessel was approached by two small crafts with six people onboard and came to within 15 meters of the vessel. All crew are reported as safe.",
2021-178,2021-05-03,"11°59'00""S
77°12'00""W",XVI,22,,,"PERU: On 3 May, four robbers boarded an anchored product tanker at Callao Anchorage, near position 11-59S 077-12W at 1930 local time. The robbers were armed with knives and took a duty crewman hostage, tying him up before stealing the crew member's personal belongings and ship's properties. The robbers then made their escape. The tied-up crew member was later found and the alarm was raised. The owners and port authorities were informed of the incident.",
2021-180,2021-05-02,"6°20'00""N
10°48'00""W",II,51,,Moored container ship,"LIBERIA: On 2 May, at least one robber boarded a container ship moored in Monrovia Port, near position 06-20N 010-48W at 0330 local time. A duty crewman discovered one intruder jumping overboard. A search revealed that some ship's properties had been stolen.",
2021-181,2021-04-29,"8°41'00""S
13°17'00""E",VII,57,Boarding,Anchored container ship,"ANGOLA: On 29 April, two robbers boarded a container ship anchored in Luanda Anchorage, near position 08-41S 013-17E at 0200 local time. Ship's horn was sounded, crew was mustered and a search of the ship was conducted. The Incident was reported to port authorities and a patrol boat was dispatched to investigate. Nothing reported stolen.",
2021-177,2021-04-27,"21°29'39.48""N
91°43'42.24""E",VIII,63,,,"BANGLADESH: On 27 April, Bangladesh Coast Guard personnel rescued 30 Rohingya refugees adrift in the Bay of Bengal for two days following a pirate attack. A Bangladesh Coast Guard spokesman stated that the boat departed from near the camps in Bangladesh's Cox's Bazar district on 23 April, carrying 20 women, 5 men and 5 children. According to the spokesman, pirates attacked the boat on 25 April, taking all valuables from the refugees and crippling the boat's engine before leaving.",
2021-179,2021-04-26,"18°04'06.24""N
63°05'20.76""W",IV,25,,Yacht,"SAINT MARTIN: On 26 April, a robber boarded an unlocked yacht in Marigot Bay and stole a variety of personal electronics. It is not known if a police report was made.",
2021-176,2021-04-23,"1°27'00""N
4°37'59.88""E",II,57,,Container ship,"SAO TOME AND PRINCIPE: On 23 April, pirates boarded a container ship underway approximately 132 NM northwest of Neves, Sao Tome and Principe, near position 01-27N 004-38E. Alarm was raised and all crew mustered in the citadel. Owners and authorities were notified and an Italian Navy frigate proceeded to intervene, The pirates boarded the ship but left after a few hours as they were unable to get access to any crew. The Italian Navy frigate escorted the ship towards its destination. All crew are safe.",
2021-94,2021-04-21,"3°41'00""N
3°33'00""E",II,57,,,"On 21 April, MDAT-GoG reported that a suspicious vessel was sighted 165 NM south of Lagos, near position 03:41 N — 003:33E at 09:39 local time. Naval assets in the area reported that one small boat with eight persons and ladders onboard is suspected of being involved in piracy operations.",
2021-93,2021-04-21,"1°10'00""N
4°57'00""E",II,57,,,"On 21 April, a tanker reported a suspicious approach by a small vessel approximately 202 NM southwest of Brass Port, near position 01:10 N — 004:57E at 12:05 local time.",
2021-183,2021-04-20,"14°33'00""N
120°55'59.88""E",XI,91,,"Barge BAK DA 55, towed tug BAK DA 5","PHILIPPINES: On 20 April, robbers boarded the barge BAK DA 55, towed by the Mongolia-flagged tug BAK DA 5 while anchored at South Harbor Anchorage, Manila, near position 14-33N 120-56E at 02:55 local time. Five robbers were spotted transferring timber from the barge to a motor boat. The duty security guard raised the alarm, causing the perpetrators to jump overboard. A search was completed by the master and crew which resulted in the rescue of one robber from the water. The port state control and Philippine coast guard were informed of the incident and a vessel was dispatched to the location, resulting in the arrest of the perpetrator who had been rescued. It was reported that some cargo items had been stolen by the remaining perpetrators, including oil, and twenty-seven pieces of timber.",
2021-95,2021-04-20,"3°01'00""N
3°16'00""E",II,57,,,"On 20 April, a single skiff approached a container ship approximately 200 NM south of Lagos, Nigeria, near position 03:01 N — 003:16E at 18:58 local time. The skiff closed to within 0.5 NM of the vessel but was unable to carry out a boarding due to evasive maneuvers carried out by the master.",
2021-104,2021-04-17,"1°16'00""N
104°14'00""E",XI,71,,IONNA L,"On 17 April, four robbers boarded the Isle of Man-flagged bulk carrier IONNA L underway in the eastbound lane of the TSS in the Singapore Strait, 6.8 NM northwest of Bintan Island, near position 1:16N — 104:14E at 05:00 local time. The robbers boarded the bulk carrier and assaulted the fourth engineer. The alarm was raised and the crew mustered, which resulted in the perpetrators escaping with stolen engine spares. The incident was reported to the Vessel Traffic Information Service.",
2021-103,2021-04-17,"1°16'00""N
104°12'00""E",XI,71,,,"On 17 April, robbers boarded a tanker while underway in the eastbound lane of the Traffic Separation Scheme (TSS) in the Singapore Strait near position 01:16N 104:12E at 01 local time. The duty engineer conducting rounds discovered a person attempting to gain access to the steering gear room from the poop deck. The alarm was raised, all deck and accommodation lighting was switched on, and the crew ere mustered. Upon hearing the alarm, the perpetrator managed to escape empty-handed.",
2021-100,2021-04-13,"25°11'00""N
56°41'00""E",IX,62,,HYPERION RAY,"On 13 April, the Israeli-owned, Bahamas-flagged vehicle carrier HYPERION RAY reportedly was attacked 18 NM east of Fujairah, UAE, near position 25: 1 IN — 056:41E.",
2021-88,2021-04-13,"12°00'00""S
77°12'00""W",XVI,22,,,"On 13 April, three robbers armed with knives boarded an anchored LPG tanker in Callao Anchorage, near position 12:00S — 077:12W at 19:40 local time. Two robbers assaulted a duty crewman on routine rounds. The alarm was raised and the crew was mustered. Seeing the alerted crew, the robbers escaped with stolen ship's properties. The incident was reported to authorities through a local agent.",
2021-105,2021-04-12,"5°48'00""N
118°04'00""E",XI,72,,,"On 12 April, an unknown number of robbers boarded a tanker at Sandakan Port, near position 05:48N — 1 18:04E. A duty crewman heard a noise from the vessel's forecastle and spotted one robber. The alarm was raised and the crew was mustered, which resulted in the perpetrator jumping overboard into a waiting small boat. A full search was conducted, which confirmed the padlock securing the forward bosun store room had been broken, but a robber had been spotted before being able to enter. The search also revealed that the forward anchor bell had been stolen.",
2021-106,2021-04-11,"1°16'00""N
104°14'00""E",XI,71,,PANTAZIS L,"On 11 April, four robbers armed with knives boarded the Liberia-flagged bulk carrier PANTAZIS L approximately 5.3 NM southeast of Kampong Sungai Buntu, Malaysia, in the eastern section of the singapore Strait, near position 01:16N — 104:14E at 01:15 local time. The robbers were discovered in the engine room and, upon being sighted, escaped by jumping overboard. A full search was completed which confirmed some engine parts had been stolen.",
